BAT:1
C1:1
C2:1
C3:1
C4:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:2
ISP:1
KEY:1
KIBUZZARD-678832A4:1
R1:1
R2:1
R3:1
R4:1
R5:1
U1:1
U2:1
U3:1
Y1:1
